block_id,conc_r,conc_c,inhibition,drug_row,drug_col,conc_r_unit,conc_c_unit,cell_line_name
1,0,0,-0.000626454,5-FU,ABT-888,uM,uM,A2058
1,0,0.35,-1.993009468,5-FU,ABT-888,uM,uM,A2058
1,0,1.08,-0.957673319,5-FU,ABT-888,uM,uM,A2058
1,0,3.25,0.069628016,5-FU,ABT-888,uM,uM,A2058
1,0,10,1.138797977,5-FU,ABT-888,uM,uM,A2058
1,0.35,0,-1.753521357,5-FU,ABT-888,uM,uM,A2058
1,0.35,0.35,2.918487429,5-FU,ABT-888,uM,uM,A2058
1,0.35,1.08,-12.35061016,5-FU,ABT-888,uM,uM,A2058
1,0.35,3.25,-4.34301619,5-FU,ABT-888,uM,uM,A2058
1,0.35,10,8.070782136,5-FU,ABT-888,uM,uM,A2058
1,1.08,0,2.410257371,5-FU,ABT-888,uM,uM,A2058
1,1.08,0.35,-2.864261675,5-FU,ABT-888,uM,uM,A2058
1,1.08,1.08,-0.741621241,5-FU,ABT-888,uM,uM,A2058
1,1.08,3.25,18.35494384,5-FU,ABT-888,uM,uM,A2058
1,1.08,10,13.63607456,5-FU,ABT-888,uM,uM,A2058
1,3.25,0,15.05005528,5-FU,ABT-888,uM,uM,A2058
1,3.25,0.35,18.55457578,5-FU,ABT-888,uM,uM,A2058
1,3.25,1.08,20.7687853,5-FU,ABT-888,uM,uM,A2058
1,3.25,3.25,30.40982122,5-FU,ABT-888,uM,uM,A2058
1,3.25,10,36.34701065,5-FU,ABT-888,uM,uM,A2058
1,10,0,39.70676951,5-FU,ABT-888,uM,uM,A2058
1,10,0.35,45.65869461,5-FU,ABT-888,uM,uM,A2058
1,10,1.08,50.38812493,5-FU,ABT-888,uM,uM,A2058
1,10,3.25,45.7475939,5-FU,ABT-888,uM,uM,A2058
1,10,10,45.20061983,5-FU,ABT-888,uM,uM,A2058
2,0,0,-0.000626454,5-FU,ABT-888,uM,uM,A2058
2,0,0.35,-1.993009468,5-FU,ABT-888,uM,uM,A2058
2,0,1.08,-0.957673319,5-FU,ABT-888,uM,uM,A2058
2,0,3.25,0.069628016,5-FU,ABT-888,uM,uM,A2058
2,0,10,1.138797977,5-FU,ABT-888,uM,uM,A2058
2,0.35,0,-1.753521357,5-FU,ABT-888,uM,uM,A2058
2,0.35,0.35,-9.013512571,5-FU,ABT-888,uM,uM,A2058
2,0.35,1.08,82.01138984,5-FU,ABT-888,uM,uM,A2058
2,0.35,3.25,12.16098381,5-FU,ABT-888,uM,uM,A2058
2,0.35,10,21.64978214,5-FU,ABT-888,uM,uM,A2058
2,1.08,0,2.410257371,5-FU,ABT-888,uM,uM,A2058
2,1.08,0.35,6.119738325,5-FU,ABT-888,uM,uM,A2058
2,1.08,1.08,6.313378759,5-FU,ABT-888,uM,uM,A2058
2,1.08,3.25,11.11994384,5-FU,ABT-888,uM,uM,A2058
2,1.08,10,15.60507456,5-FU,ABT-888,uM,uM,A2058
2,3.25,0,15.05005528,5-FU,ABT-888,uM,uM,A2058
2,3.25,0.35,24.61057578,5-FU,ABT-888,uM,uM,A2058
2,3.25,1.08,21.1977853,5-FU,ABT-888,uM,uM,A2058
2,3.25,3.25,16.94982122,5-FU,ABT-888,uM,uM,A2058
2,3.25,10,32.23501065,5-FU,ABT-888,uM,uM,A2058
2,10,0,39.70676951,5-FU,ABT-888,uM,uM,A2058
2,10,0.35,40.23369461,5-FU,ABT-888,uM,uM,A2058
